date,country
2022-06-14,ga
2022-06-15,ri
2022-06-16,in
2022-06-17,il
2022-06-18,sc
2022-06-19,mn
2022-06-20,sd
2022-06-21,hi
2022-06-22,mt
2022-06-23,ga
2022-06-24,ms
2022-06-25,vt
2022-06-26,ma
2022-06-27,ca
2022-06-28,va
2022-06-29,al
2022-06-30,de
2022-07-01,ne
2022-07-02,wi
2022-07-03,az
2022-07-04,nv
2022-07-05,dc
2022-07-06,or
2022-07-07,ne
2022-07-08,sd
2022-07-09,wi
2022-07-10,mn
2022-07-11,hi
2022-07-12,ca
2022-07-13,sd
2022-07-14,la
2022-07-15,ok
2022-07-16,wy
2022-07-17,oh
2022-07-18,in
2022-07-19,mo
2022-07-20,nh
2022-07-21,ga
2022-07-22,hi
2022-07-23,ok
2022-07-24,nh
2022-07-25,or
2022-07-26,mt
2022-07-27,tn
2022-07-28,az
2022-07-29,mt
2022-07-30,ny
2022-07-31,ca
2022-08-01,ky
2022-08-02,ms
2022-08-03,sd
2022-08-04,ak
2022-08-05,wv
2022-08-06,vt
2022-08-07,nv
2022-08-08,dc
2022-08-09,co
2022-08-10,ms
2022-08-11,mt
2022-08-12,mi
2022-08-13,ms
2022-08-14,pa
2022-08-15,id
2022-08-16,nd
2022-08-17,or
2022-08-18,ks
2022-08-19,il
2022-08-20,id
2022-08-21,wv
2022-08-22,ky
2022-08-23,sc
2022-08-24,il
2022-08-25,ar
2022-08-26,pa
2022-08-27,mt
2022-08-28,mo
2022-08-29,in
2022-08-30,tn
2022-08-31,va
2022-09-01,pa
2022-09-02,pa
2022-09-03,ak
2022-09-04,wa
2022-09-05,ut
2022-09-06,ct
2022-09-07,mt
2022-09-08,wy
2022-09-09,oh
2022-09-10,in
2022-09-11,wy
2022-09-12,ca
2022-09-13,nv
2022-09-14,ga
2022-09-15,pa
2022-09-16,ga
2022-09-17,co
2022-09-18,ri
2022-09-19,la
2022-09-20,wa
2022-09-21,sd
2022-09-22,la
2022-09-23,al
2022-09-24,az
2022-09-25,az
2022-09-26,ky
2022-09-27,de
2022-09-28,ct
2022-09-29,ny
2022-09-30,nh
2022-10-01,ut
2022-10-02,ut
2022-10-03,ma
2022-10-04,me
2022-10-05,id
2022-10-06,nm
2022-10-07,ut
2022-10-08,nh
2022-10-09,vt
2022-10-10,mo
2022-10-11,oh
2022-10-12,wy
2022-10-13,nm
2022-10-14,wv
2022-10-15,wv
2022-10-16,id
2022-10-17,mt
2022-10-18,la
2022-10-19,ct
2022-10-20,wa
2022-10-21,ga
2022-10-22,sd
2022-10-23,ar
2022-10-24,ri
2022-10-25,nm
2022-10-26,ma
2022-10-27,nm
2022-10-28,al
2022-10-29,va
2022-10-30,la
2022-10-31,nj
2022-11-01,ky
2022-11-02,ne
2022-11-03,oh
2022-11-04,in
2022-11-05,ia
2022-11-06,id
2022-11-07,ks
2022-11-08,co
2022-11-09,ma
2022-11-10,ct
2022-11-11,or
2022-11-12,ma
2022-11-13,ma
2022-11-14,mn
2022-11-15,ct
2022-11-16,nc
2022-11-17,de
2022-11-18,wa
2022-11-19,ga
2022-11-20,tn
2022-11-21,nm
2022-11-22,mo
2022-11-23,wy
2022-11-24,al
2022-11-25,ny
2022-11-26,wa
2022-11-27,id
2022-11-28,ky
2022-11-29,ky
2022-11-30,ga
2022-12-01,vt
2022-12-02,ut
2022-12-03,pa
2022-12-04,vt
2022-12-05,sc
2022-12-06,ks
2022-12-07,vt
2022-12-08,mt
2022-12-09,ca
2022-12-10,ms
2022-12-11,mt
2022-12-12,or
2022-12-13,mn
2022-12-14,md
2022-12-15,ak
2022-12-16,nc
2022-12-17,ny
2022-12-18,nh
2022-12-19,va
2022-12-20,ri
2022-12-21,mt
2022-12-22,ar
2022-12-23,ms
2022-12-24,nh
2022-12-25,ar
2022-12-26,ct
2022-12-27,dc
2022-12-28,nc
2022-12-29,co
2022-12-30,ok
2022-12-31,mi
2023-01-01,ut
2023-01-02,pa
2023-01-03,ky
2023-01-04,la
2023-01-05,mn
2023-01-06,fl
2023-01-07,dc
2023-01-08,ny
2023-01-09,ri
2023-01-10,ks
2023-01-11,mo
2023-01-12,az
2023-01-13,al
2023-01-14,id
2023-01-15,me
2023-01-16,ks
2023-01-17,mi
2023-01-18,nc
2023-01-19,mi
2023-01-20,wi
2023-01-21,tn
2023-01-22,ma
2023-01-23,dc
2023-01-24,id
2023-01-25,tx
2023-01-26,sc
2023-01-27,mo
2023-01-28,il
2023-01-29,nd
2023-01-30,nh
2023-01-31,mn
2023-02-01,fl
2023-02-02,md
2023-02-03,vt
2023-02-04,ct
2023-02-05,id
2023-02-06,ny
2023-02-07,nv
2023-02-08,ia
2023-02-09,wa
2023-02-10,tx
2023-02-11,sc
2023-02-12,va
2023-02-13,mt
2023-02-14,ny
2023-02-15,mt
2023-02-16,nm
2023-02-17,id
2023-02-18,oh
2023-02-19,ma
2023-02-20,dc
2023-02-21,va
2023-02-22,dc
2023-02-23,nh
2023-02-24,ne
2023-02-25,az
2023-02-26,ky
2023-02-27,md
2023-02-28,in
2023-03-01,ks
2023-03-02,la
2023-03-03,tn
2023-03-04,in
2023-03-05,me
2023-03-06,sc
2023-03-07,vt
2023-03-08,sd
2023-03-09,id
2023-03-10,ct
2023-03-11,ga
2023-03-12,wi
2023-03-13,wv
2023-03-14,ak
2023-03-15,de
2023-03-16,az
2023-03-17,wi
2023-03-18,ok
2023-03-19,hi
2023-03-20,ma
2023-03-21,wy
2023-03-22,il
2023-03-23,de
2023-03-24,in
2023-03-25,nc
2023-03-26,tx
2023-03-27,vt
2023-03-28,wy
2023-03-29,mt
2023-03-30,ri
2023-03-31,ks
2023-04-01,sc
2023-04-02,ms
2023-04-03,tn
2023-04-04,mi
2023-04-05,il
2023-04-06,ak
2023-04-07,fl
2023-04-08,de
2023-04-09,mo
2023-04-10,co
2023-04-11,al
2023-04-12,co
2023-04-13,ne
2023-04-14,ia
2023-04-15,nd
2023-04-16,wv
2023-04-17,ok
2023-04-18,mt
2023-04-19,md
2023-04-20,co
2023-04-21,hi
2023-04-22,ok
2023-04-23,hi
2023-04-24,tn
2023-04-25,ca
2023-04-26,ma
2023-04-27,co
2023-04-28,ma
2023-04-29,sc
2023-04-30,ca
2023-05-01,co
2023-05-02,nv
2023-05-03,ne
2023-05-04,mo
2023-05-05,mi
2023-05-06,tn
2023-05-07,wy
2023-05-08,nv
2023-05-09,id
2023-05-10,tn
2023-05-11,id
2023-05-12,nc
2023-05-13,ut
2023-05-14,sc
2023-05-15,ny
2023-05-16,mo
2023-05-17,sd
2023-05-18,ne
2023-05-19,la
2023-05-20,de
2023-05-21,ms
2023-05-22,me
2023-05-23,wi
2023-05-24,ne
2023-05-25,hi
2023-05-26,ut
2023-05-27,or
2023-05-28,dc
2023-05-29,ne
2023-05-30,tn
2023-05-31,tx
2023-06-01,nv
2023-06-02,nm
2023-06-03,ia
2023-06-04,ne
2023-06-05,sc
2023-06-06,az
2023-06-07,in
2023-06-08,nh
2023-06-09,ia
2023-06-10,mo
2023-06-11,de
2023-06-12,la
2023-06-13,ca
2023-06-14,ca
2023-06-15,wi
2023-06-16,nc
2023-06-17,ca
2023-06-18,ms
2023-06-19,wa
2023-06-20,tn
2023-06-21,ne
2023-06-22,ar
2023-06-23,wa
2023-06-24,mn
2023-06-25,pa
2023-06-26,mi
2023-06-27,wv
2023-06-28,wv
2023-06-29,tx
2023-06-30,wa
2023-07-01,nh
2023-07-02,de
2023-07-03,ny
2023-07-04,ia
2023-07-05,mt
2023-07-06,de
2023-07-07,la
2023-07-08,ms
2023-07-09,ks
2023-07-10,ga
2023-07-11,wv
2023-07-12,mt
2023-07-13,dc
2023-07-14,al
2023-07-15,nm
2023-07-16,id
2023-07-17,nc
2023-07-18,ut
2023-07-19,me
2023-07-20,sc
2023-07-21,az
2023-07-22,pa
2023-07-23,md
2023-07-24,wy
2023-07-25,id
2023-07-26,ma
2023-07-27,ga
2023-07-28,oh
2023-07-29,al
2023-07-30,id
2023-07-31,or
2023-08-01,or
2023-08-02,ms
2023-08-03,me
2023-08-04,dc
2023-08-05,ms
2023-08-06,ar
2023-08-07,ia
2023-08-08,mo
2023-08-09,tx
2023-08-10,ny
2023-08-11,id
2023-08-12,ct
2023-08-13,md
2023-08-14,wv
2023-08-15,sc
2023-08-16,nh
2023-08-17,il
2023-08-18,in
2023-08-19,mt
2023-08-20,tn
2023-08-21,mt
2023-08-22,nh
2023-08-23,ar
2023-08-24,nd
2023-08-25,ar
2023-08-26,wy
2023-08-27,ak
2023-08-28,vt
2023-08-29,or
2023-08-30,wi
2023-08-31,nd
2023-09-01,oh
2023-09-02,mn
2023-09-03,la
2023-09-04,nv
2023-09-05,wi
2023-09-06,ut
2023-09-07,oh
2023-09-08,sd
2023-09-09,mn
2023-09-10,or
2023-09-11,in
2023-09-12,id
2023-09-13,tn
2023-09-14,ok
2023-09-15,mo
2023-09-16,ia
2023-09-17,la
2023-09-18,tn
2023-09-19,sd
2023-09-20,ny
2023-09-21,ms
2023-09-22,mo
2023-09-23,sd
2023-09-24,id
2023-09-25,ks
2023-09-26,sc
2023-09-27,ma
2023-09-28,nj
2023-09-29,ks
2023-09-30,tx
2023-10-01,va
2023-10-02,al
2023-10-03,ia
2023-10-04,mt
2023-10-05,tn
2023-10-06,nh
2023-10-07,il
2023-10-08,ne
2023-10-09,wv
2023-10-10,ak
2023-10-11,va
